IncGeo_BoroughName,ResponseTimeBinary,inner,Latitude,Longitude
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,1,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,1,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.5386836151,-0.0256769364
TOWER HAMLETS,0,1,51.539619,-0.025228
TOWER HAMLETS,1,1,51.539619,-0.025228
TOWER HAMLETS,0,1,51.539619,-0.025228
TOWER HAMLETS,1,1,51.539619,-0.025228
TOWER HAMLETS,0,1,51.539619,-0.025228
TOWER HAMLETS,0,1,51.539619,-0.025228
TOWER HAMLETS,0,1,51.5406030722,-0.0246725907
TOWER HAMLETS,0,1,51.542315,-0.025111
HACKNEY,0,1,51.544112,-0.025034
HACKNEY,0,1,51.544112,-0.025034
HACKNEY,0,1,51.5445366039,-0.0246107601
HACKNEY,0,1,51.5444922297,-0.0245958337
HACKNEY,0,1,51.5476016089,-0.0242620831
WALTHAM FOREST,0,0,51.5646333146,-0.0240169567
WALTHAM FOREST,0,0,51.5655634162,-0.0241427335
WALTHAM FOREST,0,0,51.5702287794,-0.0241704867
WALTHAM FOREST,1,0,51.5698924329,-0.0241228719
WALTHAM FOREST,0,0,51.5699670755,-0.0239687091
WALTHAM FOREST,0,0,51.5707491794,-0.0236344096
WALTHAM FOREST,0,0,51.572867,-0.023787
WALTHAM FOREST,1,0,51.572867,-0.023787
WALTHAM FOREST,0,0,51.572867,-0.023787
WALTHAM FOREST,0,0,51.572867,-0.023787
WALTHAM FOREST,0,0,51.573766,-0.023748
WALTHAM FOREST,0,0,51.573766,-0.023748
